"20210101000000","gear1","70.66"
"20210101000100","gear1","45.16"
"20210101000200","gear1","93.44"
"20210101000300","gear1","27.09"
"20210101000400","gear1","80.82"
"20210101000500","gear1","24.67"
"20210101000600","gear1","46.57"
"20210101000700","gear1","8.6"
"20210101000800","gear1","66.2"
"20210101000900","gear1","78.1"
"20210101001000","gear1","54.37"
"20210101001100","gear1","99.48"
"20210101001200","gear1","80.73"
"20210101001300","gear1","53.51"
"20210101001400","gear1","62.52"
"20210101001500","gear1","20.35"
"20210101001600","gear1","10.58"
"20210101001700","gear1","9.79"
"20210101001800","gear1","23.73"
"20210101001900","gear1","97.99"
"20210101002000","gear1","23.7"
"20210101002100","gear1","11.48"
"20210101002200","gear1","95.81"
"20210101002300","gear1","90.39"
"20210101002400","gear1","91.34"
"20210101002500","gear1","20.56"
"20210101002600","gear1","16.89"
"20210101002700","gear1","51.35"
"20210101002800","gear1","84.33"
"20210101002900","gear1","2.29"
"20210101003000","gear1","87.7"
"20210101003100","gear1","12.17"
"20210101003200","gear1","1.2"
"20210101003300","gear1","23.41"
"20210101003400","gear1","77.65"
"20210101003500","gear1","37.11"
"20210101003600","gear1","38.3"
"20210101003700","gear1","80.07"
"20210101003800","gear1","39.39"
"20210101003900","gear1","43.81"
"20210101004000","gear1","94.29"
"20210101004100","gear1","42.73"
"20210101004200","gear1","39.8"
"20210101004300","gear1","43.38"
"20210101004400","gear1","44.42"
"20210101004500","gear1","31.13"
"20210101004600","gear1","87.71"
"20210101004700","gear1","62.8"
"20210101004800","gear1","12.03"
"20210101004900","gear1","66.59"
"20210101005000","gear1","56.13"
"20210101005100","gear1","96.89"
"20210101005200","gear1","12.0"
"20210101005300","gear1","54.44"
"20210101005400","gear1","61.24"
"20210101005500","gear1","58.97"
"20210101005600","gear1","84.6"
"20210101005700","gear1","52.38"
"20210101005800","gear1","73.63"
"20210101005900","gear1","78.59"
"20210101010000","gear1","16.06"
"20210101010100","gear1","65.32"
"20210101010200","gear1","39.57"
"20210101010300","gear1","39.79"
"20210101010400","gear1","93.76"
"20210101010500","gear1","97.81"
"20210101010600","gear1","2.7"
"20210101010700","gear1","40.35"
"20210101010800","gear1","20.19"
"20210101010900","gear1","89.49"
"20210101011000","gear1","14.69"
"20210101011100","gear1","71.61"
"20210101011200","gear1","14.05"
"20210101011300","gear1","0.15"
"20210101011400","gear1","34.84"
"20210101011500","gear1","33.42"
"20210101011600","gear1","56.4"
"20210101011700","gear1","55.59"
"20210101011800","gear1","99.66"
"20210101011900","gear1","38.73"
"20210101012000","gear1","66.48"
"20210101012100","gear1","7.71"
"20210101012200","gear1","57.8"
"20210101012300","gear1","40.09"
"20210101012400","gear1","80.33"
"20210101012500","gear1","27.3"
"20210101012600","gear1","67.8"
"20210101012700","gear1","82.26"
"20210101012800","gear1","15.23"
"20210101012900","gear1","26.13"
"20210101013000","gear1","16.71"
"20210101013100","gear1","1.26"
"20210101013200","gear1","91.71"
"20210101013300","gear1","29.46"
"20210101013400","gear1","34.3"
"20210101013500","gear1","4.93"
"20210101013600","gear1","85.99"
"20210101013700","gear1","32.55"
"20210101013800","gear1","13.76"
"20210101013900","gear1","61.19"
